shelter,number,lat,lon
"humpback rocks",31,None,None
"harper's ferry, w.va.",17,None,None
"my second email",1,None,None
"va 606 (campground)",4,None,None
"mannasus gap shelter",2,None,None
"in vermont on vacation",30,None,None
"beartree campground,va.",6,None,None
"lee ma.",1,None,None
"peaks corner shelter",2,None,None
"overbridge shelter",2,None,None
"new river bridge (east end)",1,None,None
"wilbur's clearing",2,None,None
"campsite near gov. clement shelter",10,None,None
"in the woods 3 miles before port clinton",30,None,None
"long pond outlet",4,None,None
"near zealand trail",2,None,None
"va 606-trent's grocery",4,None,None
"vaughn stream",120,None,None
"duckett farm bed and breakfast",2,None,None
"west side of east carry pond",4,None,None
"the hostess with the mostest",2,None,None
"north woodstock,nh.",60,None,None
"hertlein shelter",3,None,None
"the jail in palmertown,pa",20,None,None
"mcaffee's knob",4,None,None
"tent, east flagstaff rd",32,None,None
"south holston river campsite",1,None,None
"bar harbor me",118,None,None
"graymoon friary",3,None,None
"somwhere in maine",2,None,None
"buena vista,va",64,None,None
"rocky mt shelters",64,None,None
"windor furnace shelter",1,None,None
"pearsberg",8,None,None
"nh302/crawford notch",2,None,None
"places that sell packs",1,None,None
"stateline, nj/ny",2,None,None
"port clinton hike hostel",6,None,None
"day 11",8,None,None
"woody gap, ga",35,None,None
"bluemont, va",19,None,None
"route 19e, roan mountain",24,None,None
"campsite 2 mi. south of comer creek",2,None,None
"flint mt shelter",8,None,None
"kelly stand road- south wardsboro",6,None,None
"rt. 615",2,None,None
"wingdale ny",2,None,None
"close to fontana",4,None,None
"little stoney cliffs",2,None,None
"chocorua house, nh",8,None,None
"amc lakes of the clouds hut",14,None,None
"floyd mountain",18,None,None
"blue mountain shelter",250,34.81724,-83.76668
"sharon, ct",24,None,None
"new york 17; harriman, ny",12,None,None
"rpm shelter",4,None,None
"i can't be done!",8,None,None
"pickle brance shelter",2,None,None
"ain't movin'",3,None,None
"deer mtn. shelter",6,None,None
"tenting beside south arm road",32,None,None
"wallace gap (franklin)",8,None,None
"rainbow springs campgroound",2,None,None
"blood mountian shelter",1,None,None
"the pines",40,None,None
"pa rt. 274 (duncannon)",2,None,None
"ore mt. shelter",8,None,None
"da nort' country- massachusetts style",1,None,None
"ma hywy 2, n. adam, ma",4,None,None
"near pickel branch shelter",154,None,None
"rich mtn. firetower",2,None,None
"buzzard hill mtn (va)",4,None,None
"stream prior to luthers rock",14,None,None
"tentsite in dukes hollow",2,None,None
"dalton/birdcage",14,None,None
"october lean to",3,None,None
"grand prix motel, gatlinburg (still)",12,None,None
"through a glass darkly",1,None,None
"calf mt. hut",4,None,None
"mohican outdoor cernter, nj.",14,None,None
"vt 140",108,None,None
"campsite close to rodunk brook",20,None,None
"kimberling creek",119,None,None
"jennings gap",1,None,None
"ten mile mt. shelter",7,None,None
"interstate 77",10,None,None
"bagg creek",10,None,None
"white house landing logging rd.",2,None,None
"campsite by tye river",4,None,None
"stream in vermont",34,None,None
"game lands road",2,None,None
"neels gap - walasi-yi hostel",12,None,None
"va 615",261,None,None
"wolfeville road",10,None,None
"carter notch hut",1419,44.25926,-71.19533
"madison spring, nh",8,None,None
"bully brook",11,None,None
"addition to 4/03/05 entry",1,None,None
"licking gap",6,None,None
"campsite by unaka mt.",10,None,None
"lords of the flies",6,None,None
"carl a.newhall lean-to",8,None,None
"va 670 south holston river",1,None,None
"cobb mtn shelter",10,None,None
"humber park",1,None,None
"unionville ny 600",59,None,None
"lehigh gap (tenting)",8,None,None
"nantahulla outdoor center",2,None,None
"bluberry patch",2,None,None
"franconia hotel",10,None,None
"bearmountain",5,None,None
"us. 11/ carlilse, pa",24,None,None
"doublespring shelter",2,None,None
"dave’s place, raleigh, nc",7,None,None
"us 19 e",51,None,None
"2 miles south of wolfs rocks, pa",1,None,None
"campsite 5mi north of damascus",12,None,None
"little gap - campsite",8,None,None
"fireworks show",2,None,None
"max patch shelter",8,None,None
"1.8 mi past wing rock",4,None,None
"tenting on ridge",2,None,None
"pa 325 clark creek (duncannon)",8,None,None
"clearing on the ridge",6,None,None
"little orleans, md",14,None,None
"firetower foundation tented",2,None,None
"kincora - kinship of the heart",2,None,None
"town's inn - harpers ferry",24,None,None
"virginia/west virginia stateline",4,None,None
"shelter near va highlands",2,None,None
"birtch spring shelter",10,None,None
"appalachain trail",5,None,None
"front royal, quality inn",12,None,None
"neels gap - dicks creek gap",8,None,None
"ft. chiswell rv park",24,None,None
"bartram trail (mile 114.7)",2,None,None
"bake oven knob shelter",184,40.75411,-75.72701
"dicks creek gap / hiawassee, ga",2,None,None
"on top of tinker cliffs, 698.8 miles",49,None,None
"rector laural rd.",2,None,None
"sugarloaf gap unofficial camp",6,None,None
"to va. rt. 42, ceres",2,None,None
"compton campground",2,None,None
"backpacker campsite, worthington park, nj",1,None,None
"bryon city, north carolina",2,None,None
"bear mountain ny",5,None,None
"curly maple shelter",38,None,None
"curry creek",22,None,None
"brryant ridge shelter",12,None,None
"campground, va 606",1,None,None
"story time",5,None,None
"the trail!!!!!",8,None,None
"bluff mt.",4,None,None
"campsite before port clinton",2,None,None
"canopus hill",29,None,None
"damaskas",20,None,None
"whitetop mountail road (usfs 89)",2,None,None
"eta leadership camp",2,None,None
"plateau campsite",284,None,None
"someone's memorial shelter, pine grove furnace pa",1,None,None
"hemlock lea-to",2,None,None
"mochican outdoor center",22,None,None
"mill river",20,None,None
"damascus-lazy fox bed &breakfast",4,None,None
"between blue ridge and skyline",1,None,None
"grotto falls",3,None,None
"stafford notch",77,None,None
"carlo mt.",2,None,None
"whiley shelter",6,None,None
"mt cammerer lookout",8,None,None
"fisher lookout",2,None,None
"jack and karen's",25,None,None
"south arm road - andover",310,None,None
"fourth mountain",21,None,None
"view n of ny52 campsite",26,None,None
"a campground along skyline drive",5,None,None
"maine 17/rangely",19,None,None
""the cabin" hostel in east andover, me",1,None,None
"little rock tenting area",14,None,None
"congdon",729,42.848096,-73.110427
"tasty pork chunk cereal",1,None,None
"st.thomas episcopal church",1,None,None
"campsite near fox creek",2,None,None
"brrrr!",6,None,None
"cornelius crek shelter",24,None,None
"whitly gap shelter",1,None,None
"few miles but great views",6,None,None
"the guillotine",32,None,None
"the doyle in duncannon",20,None,None
"tent at pinwheel vista overlooking nj94",10,None,None
"semi crappy campsite",5,None,None
"hightop sheklter",2,None,None
"greasy creek gap, atagc hostel",121,None,None
"salisbury, cn, white hart inn",12,None,None
"devil race course shelter",3,None,None
"near a shelter",2,None,None
"hiker hostel , georgia'",1,None,None
"goldsmith rd., nj",16,None,None
"firewarden's cabin on smarts mt.",74,None,None
"pa 325, pa",9,None,None
"ashburn, va (meredith's apartment!)",6,None,None
"windingstair gap",1,None,None
"pierce pond lean- to",26,None,None
"campsite (black swatara spring)",4,None,None
"17 out of andover",8,None,None
"spiveys gap",2,None,None
"sugar run cap (mrs. tillies hostel)",6,None,None
"u.s. 60 crossing",5,None,None
"more shen aqua talk",1,None,None
"future!",1,None,None
"spring mntn summit",2,None,None
"cap bon ami",2,None,None
"wallace gap - rainbow springs campground",18,None,None
"northern maryland",1,None,None
"muskratcreek shelter",9,None,None
"barn at vt hwy 12 (shelter)",4,None,None
"hawk's mountain shelter",1,None,None
"turtle station hostel",4,None,None
"nawakanta campsite",7,None,None
"upside down",6,None,None
"group encouragement",21,None,None
"walnut mt road",4,None,None
"harpers ferry, west virginia",43,None,None
"moreland gap shelter",850,36.22015,-82.08831
"knoxville",111,None,None
"wheeler knob",4,None,None
"farther north of damascus",1,None,None
"eunice, la",4,None,None
"wv-va state line",7,None,None
"ramada limited hotel in ga",2,None,None
"nantahala outdoor center- wesser, nc",3,None,None
"dicks creek gap, hiawassee, ga",12,None,None
"tn 321",2,None,None
"reflection on 2009 hike",12,None,None
"potaywadjo springs lean-to, me",16,None,None
"pen-mar country park",10,None,None
"logan brook lean-to",1662,45.5609,-69.23512
"palmerton town hall",4,None,None
"dennis cove (hard core project at kincora)",3,None,None
"zero in cambridge",2,None,None
"air conditioning",3,None,None
"eastern mountain retreat",12,None,None
"bennington - brattleboro highway",2,None,None
"temple hill gap",28,None,None
"old job turnoff",4,None,None
"tray mt. shelter",58,None,None
"beahms gap",7,None,None
"elkgardens",2,None,None
"port clinton (hotel, shartlesville)",28,None,None
"just past bear mountain perkins tower",24,None,None
"roan mt shelter",1,None,None
"carriage house hotel",2,None,None
"campsite 29",2,None,None
"porter's field campsite",2,None,None
"lone mountain shleter",4,None,None
"wakefield, nh",15,None,None
"u.s. 220/ interstate 81 interchange area",6,None,None
"mt. wilcox north lean-to",158,42.22108,-73.25018
"summit hut at sugarloaf ski resort",6,None,None
"jenny's kob",6,None,None
"woodrow road, south mountain, pa",5,None,None
"ten mile campsite",12,None,None
"tahquitz peak (pacific crest trail)",1,None,None
"zero in the woods",6,None,None
"eileens house",18,None,None
"totts gap, pa",1,None,None
"ups lead to downs, roads lead to towns",1,None,None
"cooper gap",35,None,None
"st. john's hostel",10,None,None
"somewhere in n.h.",2,None,None
"hazeltop, snp, va",11,None,None
"mass to warren n.h.",2,None,None
"traileside campsite",8,None,None
"anthony wayne recreation area, ny",2,None,None
"manchester, vt.",40,None,None
"max patch, nc",62,None,None
"ski patrol hut on top of stratton mountain",5,None,None
"belair camping, madeleine-centre",4,None,None
"pass mt hut",23,None,None
"locust cove gap (144.6 miles)",27,None,None
"hightower gap, ga (frank merrill ranger station)",1,None,None
"russell shelter",2,None,None
"hianasee, ga",6,None,None
"kirkridge shelter",0,40.93672,-75.1864
"browns mountain shelter",8,None,None
"osgood tenting area",20,None,None
"horselog hollow campsite",2,None,None
"campsite with swing",18,None,None
"island pond mtn, harriman sp",4,None,None
"underpass near carlisle 7:30 am",4,None,None
"us 58/summit cut",1,None,None
"unicoi gap",614,None,None
"dicks gap",7,None,None
"va605 gravel road 1,100",1,None,None
"lambert meadow shelter",311,None,None
"kansas",7,None,None
"near jarrad gap",10,None,None
"so many hikers",6,None,None
"pje grove furnace state park",3,None,None
"bemis stream - tenting site",24,None,None
"grenwall shelter",6,None,None
"freeport, me",30,None,None
"lenoir city, tn",1,None,None
"goodrich rd. near unionville,ny",4,None,None
"mike and niki's",2,None,None
"new foundland gap",4,None,None
"bear mtn. st park",18,None,None
"port clinton pa.",182,None,None
"big meadow lodge",76,None,None
"2 mi short of mountain momma's",4,None,None
"day 67: river view camp, susquehanna river, pa",1,None,None
"laural creek falls",4,None,None
"mt. moriah--stealth tenting",6,None,None
"woodshole shleter",2,None,None
"pie lady hostel",6,None,None
"top o' bear mountain",2,None,None
"evolution of a trail name",1,None,None
"logan brook shelter",6,None,None
"moxy bald pond lean-to",66,None,None
"howardville turnpike",2,None,None
"parking lot 5 -- (side trail)",3,None,None
"n. woodstock, nh",77,None,None
"aunt jo & uncle denny's house, clarksburg, md",3,None,None
"hertlein campsite",267,None,None
"raven rock cliffs",8,None,None
"slower pace for a change",21,None,None
"orange turnpike, new york",1,None,None
"campsite before e. mombasha rd",2,None,None
"king cora hostel",10,None,None
"campsite 2 miles north of little gap",30,None,None
"heading south",3,None,None
"big meadows campground",327,None,None
"reed's gap (sherando lake)",4,None,None
"apalachian trail",3,None,None
"bear mtn, ny",27,None,None
"seeley-woolworth shelter",2,None,None
"thomas leonard lean-to",8,None,None
"kilington, vt",8,None,None
"us route 201",36,None,None
"sayreville, nj",9,None,None
"dennis cove, kinkora hostel",1,None,None
"camping at little wolf creek",12,None,None
"peru peak",225,43.301214,-72.952822
"conley maple gap shelter",2,None,None
"overshot's house",2,None,None
"tn county road 293",6,None,None
"old roaring creek shelter",3,None,None
"harpers ferry, wv -- new jersey",6,None,None
"baker peak",102,None,None
"quarry gap shelters",2,39.93198,-77.48638
"galeshead hut",6,None,None
"little swift river pond",382,None,None
"october mt. lean-to",42,None,None
"birdcage / dalton, ma",4,None,None
"laurel ridge (cabin)",4,None,None
"jdamascus",1,None,None
"maybe 10 feet today",2,None,None
"forest road 10, near danby, vermont",2,None,None
"in-laws - ny",10,None,None
"fish hatchery road",190,None,None
"some gap",2,None,None
"feathercamp ridge",8,None,None
"mink creek",1,None,None
"grafton notch - the cabin",16,None,None
"damascus - people",3,None,None
"mom's house, ma",4,None,None
"nantahala outdoor center, n.c.",2,None,None
"the highlands of roan, tn/nc",1,None,None
"clearwater brook, me",8,None,None
"cleveland, ohio",2,None,None
"the day is here!!! finally!!!",2,None,None
"us 7 and ct 112",1,None,None
"hawk mountain",775,34.66591,-84.136402
"monroe, ny",2,None,None
"amicalola falls shelter",20,None,None
"tented on wayahbald mtn.",2,None,None
"granny mtn",7,None,None
"florida!!! he's in florida??!!",34,None,None
"grassy top,nc",2,None,None
"tentsite north of east armuchee creek, ga",2,None,None
"the relax inn, rural retreat (near atkins)va",4,None,None
"williams lake resort - rosendale, ny",5,None,None
"tented at v.a. 615",12,None,None
"south river",64,None,None
"seg 22: kellogg rd bridge over housatonic rv, ma",1,None,None
"kalorama guest house",5,None,None
"bromely tower/summit",4,None,None
"marble spring caqmpsite",1,None,None
"ground hog shelter (?)",1,None,None
"mt wilcox north shelter",36,None,None
"small knob",3,None,None
"lercry smith shelter",1,None,None
"orbeton stream, me",18,None,None
"andover, me ii",14,None,None
"stratton brook pond road",141,None,None
"alberta mtn",4,None,None
"genitian pond shelter",10,None,None
"wayah gap +1",2,None,None
"the farm",2,None,None
"cornilus creek shelter",6,None,None
"stuck in a trail town for another day",4,None,None
"getting started",1,None,None
"stealth site crawford notch",2,None,None
"yellow jacket",15,None,None
"ducannon pa",24,None,None
"tom leonard leanto",14,None,None
"ny9d",16,None,None
"us 11, carlisle, pa",12,None,None
"searching for the walking stomach",1,None,None
"trent store",2,None,None
"campsite before nc28",2,None,None
"the pub across the street",4,None,None
